pH,Turbidity_NTU,Free_Residual_Chlorine_ppm,TDS_ppm,Total_Hardness_ppm,Calcium_Hardness_ppm,Magnesium_Hardness_ppm,Chlorides_ppm,Phosphate_ppm,Total_Alkalinity_ppm,Sulphates_ppm,Silica_ppm,Source_Sheet,Date,Iron_ppm,Suspended_Solids_ppm,Conductivity_uS_cm,Cycles_of_Concentration
7.38,27.0,,1006.0,388.0,208.0,180.0,37.0,,,,33.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1501.0,
8.02,24.0,,963.0,392.0,216.0,176.0,29.0,,,,39.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,,
7.33,16.0,0.5,1002.0,384.0,208.0,176.0,29.0,,,,31.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1495.0,
7.55,15.0,,991.0,445.0,241.0,204.0,33.0,,,,39.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1479.0,
7.49,12.0,,1000.0,478.0,225.0,253.0,28.0,,,,40.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1492.0,
7.43,16.0,0.4,838.0,483.0,216.0,267.0,26.0,,,,41.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1850.0,
7.41,22.0,0.2,966.0,478.0,241.0,237.0,22.0,,,,46.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1441.0,
8.03,20.0,0.1,967.0,470.0,229.0,241.0,29.0,,,,44.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1443.0,
8.04,16.0,0.5,976.0,483.0,237.0,246.0,29.0,,,,45.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1456.0,
8.08,18.0,,990.0,636.0,358.0,278.0,191.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1464.0,
8.07,25.0,0.5,1009.0,674.0,373.0,301.0,206.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1505.0,
7.51,18.0,0.5,966.0,634.0,365.0,269.0,198.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1442.0,
7.37,18.0,0.5,950.0,704.0,394.0,310.0,206.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1418.0,
7.81,17.0,,880.0,636.0,365.0,271.0,220.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1313.0,
,22.0,,976.0,,,0.0,,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1456.0,
8.21,18.0,,815.0,628.0,343.0,285.0,220.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1216.0,
8.11,18.0,,913.0,615.0,360.0,255.0,235.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1362.0,
7.96,19.0,0.5,1001.0,628.0,356.0,272.0,228.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1544.0,
7.64,10.0,0.5,999.0,636.0,360.0,276.0,235.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1491.0,
7.7,17.0,0.5,986.0,634.0,374.0,260.0,293.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1471.0,
7.8,12.0,,1013.0,625.0,401.0,224.0,206.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1511.0,
7.85,25.0,,985.0,615.0,405.0,210.0,220.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1470.0,
7.56,22.0,,1021.0,623.0,427.0,196.0,206.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1523.0,
7.21,27.0,0.2,962.0,619.0,392.0,227.0,198.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1435.0,
7.42,26.0,,932.0,623.0,392.0,231.0,191.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1391.0,
7.04,21.0,,1093.0,650.0,394.0,256.0,184.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1631.0,
7.27,20.0,,937.0,654.0,385.0,269.0,191.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1398.0,
7.6,47.0,0.7,906.0,659.0,381.0,278.0,384.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,,
8.14,19.0,,851.0,638.0,370.0,268.0,370.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1270.0,
6.85,17.0,0.2,873.0,550.0,348.0,202.0,156.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,,
7.56,19.0,,866.0,679.0,370.0,309.0,213.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1292.0,
7.05,25.0,0.9,1597.0,689.0,378.0,311.0,220.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,,
7.27,24.0,0.5,901.0,703.0,396.0,307.0,213.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1344.0,
7.77,33.0,,1010.0,717.0,415.0,302.0,227.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1507.0,
7.06,33.0,,863.0,774.0,396.0,378.0,220.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1288.0,
7.23,18.0,,845.0,817.0,434.0,383.0,213.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1261.0,
7.36,14.0,0.5,852.0,524.0,295.0,229.0,185.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1271.0,
7.06,14.0,0.5,864.0,547.0,300.0,247.0,178.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1289.0,
7.69,15.0,,889.0,571.0,309.0,262.0,185.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1326.0,
6.4,20.0,0.6,898.0,590.0,305.0,285.0,78.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1340.0,
7.51,16.0,,865.0,628.0,343.0,285.0,185.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1291.0,
7.88,17.0,,810.0,619.0,356.0,263.0,178.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1208.0,
7.81,22.0,,848.0,565.0,270.0,295.0,203.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1265.0,
7.77,24.0,0.2,875.0,585.0,260.0,325.0,194.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1306.0,
7.65,25.0,0.1,860.0,530.0,245.0,285.0,211.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1283.0,
7.93,21.0,,863.0,615.0,325.0,290.0,186.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1288.0,
7.84,25.0,,796.0,620.0,320.0,300.0,178.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1188.0,
7.1,18.0,0.6,843.0,543.0,262.0,281.0,162.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1258.0,
7.86,20.0,0.3,824.0,585.0,253.0,332.0,186.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1229.0,
7.74,20.0,,861.0,594.0,257.0,337.0,194.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1285.0,
6.78,22.0,0.2,824.0,580.0,271.0,309.0,178.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1229.0,
7.14,45.0,,838.0,590.0,281.0,309.0,186.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1250.0,
7.56,31.0,,796.0,585.0,271.0,314.0,178.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1188.0,
7.7,25.0,,815.0,580.0,267.0,313.0,186.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1216.0,
7.35,17.0,,840.0,571.0,220.0,351.0,203.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1253.0,
6.9,21.0,,813.0,580.0,225.0,355.0,21.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1213.0,
6.95,19.0,,796.0,571.0,220.0,351.0,203.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1180.0,
7.22,14.0,,781.0,565.0,203.0,362.0,186.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1165.0,
7.02,11.0,0.1,789.0,551.0,194.0,357.0,194.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1177.0,
7.09,18.0,0.6,813.0,560.0,185.0,375.0,170.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1213.0,
8.01,15.0,0.3,890.0,524.0,194.0,330.0,186.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1328.0,
7.6,11.0,0.2,871.0,520.0,203.0,317.0,203.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1300.0,
7.8,19.0,0.5,876.0,511.0,190.0,321.0,194.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1307.0,
7.99,28.0,,948.0,533.0,,533.0,203.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1415.0,
7.67,16.0,0.5,852.0,520.0,194.0,326.0,194.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1271.0,
7.73,31.0,,787.0,506.0,249.0,257.0,170.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1174.0,
7.31,20.0,,899.0,461.0,212.0,249.0,170.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1341.0,
7.83,17.0,,925.0,462.0,356.0,106.0,178.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1380.0,
