pH,Turbidity_NTU,Free_Residual_Chlorine_ppm,TDS_ppm,Total_Hardness_ppm,Calcium_Hardness_ppm,Magnesium_Hardness_ppm,Chlorides_ppm,Phosphate_ppm,Total_Alkalinity_ppm,Sulphates_ppm,Silica_ppm,Source_Sheet,Date,Iron_ppm,Suspended_Solids_ppm,Conductivity_uS_cm,Cycles_of_Concentration
7.41,18.0,,1026.0,796.0,449.0,347.0,178.0,4.5,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,,1531.0,
8.06,20.0,0.2,1034.0,796.0,458.0,338.0,187.0,4.5,,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,,1543.0,
7.82,16.0,0.5,1022.0,669.0,528.0,141.0,187.0,4.5,,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1525.0,
7.76,21.0,0.3,1018.0,704.0,383.0,321.0,213.0,4.6,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,,1519.0,
8.15,23.0,0.5,1043.0,717.0,392.0,325.0,204.0,4.7,,,73.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1556.0,
8.02,23.0,0.5,1075.0,726.0,396.0,330.0,222.0,4.6,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1604.0,
8.09,15.0,0.5,1223.0,717.0,392.0,325.0,213.0,4.5,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1825.0,
7.98,31.0,0.8,1287.0,739.0,405.0,334.0,231.0,4.6,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,,1920.0,
8.12,25.0,,1223.0,730.0,409.0,321.0,213.0,4.4,,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1825.0,
7.97,20.0,,1026.0,731.0,423.0,308.0,195.0,4.5,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1531.0,
8.27,18.0,,1133.0,745.0,437.0,308.0,135.0,4.6,,,68.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1691.0,
7.48,18.0,,1205.0,759.0,432.0,327.0,171.0,4.5,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1798.0,
7.21,16.0,,1220.0,750.0,419.0,331.0,164.0,4.5,,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1821.0,
7.91,23.0,0.4,1306.0,759.0,432.0,327.0,158.0,4.4,,,73.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1949.0,
7.85,20.0,1.0,1185.0,727.0,423.0,304.0,144.0,4.3,,,69.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,1768.0,
8.2,25.0,0.6,1142.0,722.0,382.0,340.0,252.0,4.0,,,81.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1704.0,
8.39,18.0,0.4,1201.0,736.0,391.0,345.0,268.0,4.1,,,85.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,1793.0,
8.44,17.0,0.4,1361.0,768.0,414.0,354.0,244.0,4.3,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,2031.0,
7.93,26.0,0.5,1514.0,791.0,431.0,360.0,260.0,4.2,,,82.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,2259.0,
8.0,22.0,0.6,1475.0,782.0,428.0,354.0,236.0,4.4,,,80.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,2201.0,
7.6,20.0,0.4,1681.0,777.0,400.0,377.0,236.0,4.3,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,2509.0,
8.27,16.0,0.1,1428.0,736.0,423.0,313.0,252.0,4.4,,,82.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,2131.0,
8.66,19.0,,1352.0,782.0,455.0,327.0,284.0,4.2,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,2018.0,
7.63,21.0,,1387.0,805.0,460.0,345.0,292.0,4.3,,,82.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,2070.0,
7.19,20.0,,1514.0,791.0,437.0,354.0,267.0,4.4,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,2259.0,
8.07,22.0,,1352.0,810.0,451.0,359.0,275.0,4.5,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,2017.0,
8.28,22.0,0.2,1195.0,787.0,429.0,358.0,267.0,4.3,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1783.0,
8.72,21.0,,973.0,690.0,409.0,281.0,251.0,4.6,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1452.0,
8.14,21.0,,1114.0,722.0,423.0,299.0,259.0,4.5,,,77.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1662.0,
7.94,21.0,0.5,1236.0,727.0,428.0,299.0,308.0,4.6,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,,1844.0,
7.97,20.0,0.5,1443.0,731.0,419.0,312.0,284.0,4.4,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,,2153.0,
6.93,20.0,0.5,1384.0,728.0,419.0,309.0,252.0,4.5,,,83.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,2066.0,
8.18,20.0,0.2,1275.0,738.0,405.0,333.0,276.0,4.1,,,77.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1902.0,
7.61,21.0,0.1,1295.0,752.0,428.0,324.0,252.0,4.4,,,81.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1932.0,
8.29,21.0,0.2,1274.0,762.0,443.0,319.0,276.0,4.5,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,,1901.0,
7.06,23.0,,1176.0,785.0,428.0,357.0,244.0,4.3,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1755.0,
7.94,19.0,,1637.0,776.0,414.0,362.0,268.0,4.2,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,2443.0,
8.23,18.0,,1382.0,771.0,409.0,362.0,260.0,4.1,,,80.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,2062.0,
8.12,22.0,,1309.0,776.0,390.0,386.0,268.0,4.2,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,,1953.0,
8.67,23.0,,1049.0,783.0,347.0,436.0,276.0,4.5,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1565.0,
8.62,20.0,,1155.0,734.0,326.0,408.0,252.0,4.6,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1723.0,
8.69,20.0,0.1,1058.0,755.0,318.0,437.0,236.0,4.4,,,81.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1579.0,
8.24,18.0,0.1,1043.0,759.0,400.0,359.0,252.0,4.5,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1557.0,
8.25,19.0,0.1,955.0,755.0,396.0,359.0,244.0,4.4,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1425.0,
8.26,18.0,0.2,945.0,755.0,388.0,367.0,236.0,4.1,,,77.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1410.0,
8.03,18.0,0.4,915.0,714.0,375.0,339.0,228.0,4.3,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1365.0,
8.13,21.0,0.4,925.0,726.0,379.0,347.0,236.0,4.5,,,81.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1380.0,
8.4,19.0,0.1,887.0,649.0,352.0,297.0,197.0,4.2,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1324.0,
8.32,18.0,0.2,753.0,642.0,337.0,305.0,181.0,4.0,,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,1120.0,
8.04,18.0,0.2,800.0,638.0,333.0,305.0,177.0,4.1,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1194.0,
8.31,20.0,,717.0,741.0,325.0,416.0,197.0,4.0,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,1070.0,
8.33,23.0,,893.0,701.0,380.0,321.0,181.0,4.1,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1332.0,
7.92,25.0,0.2,829.0,673.0,388.0,285.0,205.0,4.6,,,83.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,,1237.0,
7.56,19.0,0.2,859.0,685.0,392.0,293.0,213.0,4.2,,,80.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1282.0,
8.14,18.0,,767.0,681.0,376.0,305.0,181.0,4.1,,,83.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1145.0,
8.16,20.0,,816.0,673.0,370.0,303.0,177.0,4.1,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1217.0,
8.28,17.0,,696.0,664.0,361.0,303.0,165.0,4.3,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1038.0,
8.54,21.0,,689.0,673.0,365.0,308.0,175.0,4.1,,,81.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1028.0,
8.97,19.0,0.1,766.0,686.0,374.0,312.0,188.0,4.2,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1143.0,
7.88,18.0,,685.0,572.0,326.0,246.0,165.0,4.0,,,80.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1022.0,
8.63,22.0,,782.0,581.0,343.0,238.0,162.0,4.2,,,83.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,1167.0,
8.71,18.0,,745.0,594.0,330.0,264.0,155.0,4.0,,,81.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1111.0,
8.41,20.0,0.1,940.0,598.0,326.0,272.0,166.0,4.2,,,77.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,1402.0,
8.01,20.0,,792.0,594.0,321.0,273.0,162.0,4.1,,,81.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,1182.0,
8.18,25.0,,772.0,616.0,326.0,290.0,170.0,4.1,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1152.0,
8.18,19.0,,686.0,594.0,334.0,260.0,173.0,4.2,,,82.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1023.0,
8.25,22.0,,836.0,598.0,321.0,277.0,165.0,4.0,,,85.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,1247.0,
8.18,19.0,,686.0,594.0,334.0,260.0,173.0,4.2,,,82.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1023.0,
7.99,18.0,,595.0,594.0,332.0,262.0,162.0,4.2,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,888.0,
8.15,23.0,0.2,727.0,603.0,342.0,261.0,158.0,4.3,,,84.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1085.0,
8.3,21.0,,605.0,514.0,325.0,189.0,165.0,4.5,,,85.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,902.0,
8.27,20.0,,629.0,538.0,340.0,198.0,187.0,4.6,,,80.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,938.0,
8.32,18.0,,654.0,547.0,345.0,202.0,172.0,4.5,,,83.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,976.0,
8.56,20.0,0.5,608.0,560.0,332.0,228.0,158.0,4.2,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,907.0,
8.7,23.0,,860.0,538.0,307.0,231.0,162.0,4.5,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1283.0,
7.89,22.0,0.2,909.0,523.0,301.0,222.0,158.0,4.2,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,,1356.0,
8.02,25.0,0.8,890.0,507.0,305.0,202.0,144.0,4.3,,,77.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,,1328.0,
7.7,49.0,,737.0,439.0,271.0,168.0,244.0,6.0,,,,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,35.0,1100.0,
8.2,43.0,,703.0,422.0,263.0,159.0,246.0,6.3,,,,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,,1050.0,
8.5,,,715.0,430.0,268.0,162.0,249.0,6.0,,,,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,20.0,1068.0,
8.1,,1.0,698.0,412.0,254.0,158.0,262.0,6.4,,,,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,31.0,1042.0,
8.3,,,690.0,380.0,238.0,142.0,213.0,5.7,95.0,,,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,27.0,1038.0,
8.88,,0.8,921.0,562.0,371.0,191.0,180.0,4.5,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1374.0,
8.33,,,956.0,571.0,362.0,209.0,186.0,4.3,,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1426.0,
8.34,,,915.0,569.0,362.0,207.0,178.0,4.2,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1365.0,
8.5,,,877.0,566.0,367.0,199.0,171.0,4.0,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1308.0,
8.59,,,775.0,555.0,362.0,193.0,186.0,4.2,,,77.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,19.0,1156.0,
7.84,,,789.0,562.0,352.0,210.0,178.0,4.3,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,20.0,1177.0,
7.44,,,908.0,588.0,328.0,260.0,171.0,4.2,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,16.0,1355.0,
7.3,,,765.0,596.0,319.0,277.0,182.0,4.6,,,82.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1141.0,
7.89,,,816.0,617.0,315.0,302.0,175.0,4.3,,,81.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,21.0,1217.0,
8.1,,,853.0,613.0,311.0,302.0,164.0,4.2,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,17.0,1273.0,
8.78,,,921.0,619.0,318.0,301.0,171.0,4.2,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,21.0,1374.0,
7.01,,0.5,876.0,615.0,314.0,301.0,164.0,4.3,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,20.0,1307.0,
7.5,,,995.0,636.0,322.0,314.0,178.0,4.4,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1485.0,
7.71,,,857.0,649.0,331.0,318.0,177.0,4.6,,,80.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1279.0,
7.66,,,850.0,644.0,322.0,322.0,187.0,4.5,,,,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,17.0,1268.0,
7.29,,,687.0,636.0,374.0,262.0,203.0,4.2,,,88.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1025.0,
7.5,,,884.0,670.0,305.0,365.0,185.0,4.1,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1319.0,
7.98,,0.1,880.0,661.0,310.0,351.0,174.0,4.3,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,20.0,1313.0,
8.38,,0.2,914.0,678.0,318.0,360.0,196.0,4.2,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,15.0,1364.0,
7.49,,1.0,850.0,691.0,314.0,377.0,189.0,4.1,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,16.0,1268.0,
7.65,,0.5,978.0,712.0,318.0,394.0,182.0,4.3,,,85.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1459.0,
8.12,,,1232.0,700.0,305.0,395.0,204.0,4.5,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,23.0,1838.0,
8.05,,0.1,1201.0,700.0,310.0,390.0,196.0,4.4,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,21.0,1792.0,
8.16,,1.0,1260.0,695.0,314.0,381.0,182.0,4.3,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,20.0,1880.0,
8.23,,,1160.0,806.0,420.0,386.0,218.0,4.5,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1731.0,
7.84,,,1201.0,814.0,403.0,411.0,233.0,4.2,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1792.0,
7.89,,1.0,1256.0,838.0,402.0,436.0,254.0,4.4,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,22.0,1874.0,
6.5,,0.2,1162.0,829.0,406.0,423.0,247.0,4.5,,,82.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1734.0,
8.05,,,1167.0,855.0,408.0,447.0,249.0,4.5,,,73.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1741.0,
7.52,,,999.0,847.0,406.0,441.0,241.0,4.4,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,20.0,1491.0,
8.44,,,1092.0,864.0,471.0,393.0,227.0,4.5,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,25.0,1629.0,
8.05,,,1005.0,855.0,467.0,388.0,234.0,4.6,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,19.0,1500.0,
8.32,,,1064.0,851.0,454.0,397.0,249.0,4.5,,,82.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,22.0,1588.0,
8.46,,,987.0,864.0,467.0,397.0,270.0,4.5,,,87.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,22.0,1473.0,
8.43,,0.6,888.0,868.0,462.0,406.0,263.0,4.5,,,84.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,39.0,1325.0,
8.35,,0.8,952.0,883.0,465.0,418.0,249.0,4.2,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,25.0,1420.0,
7.98,,0.6,1151.0,998.0,529.0,469.0,256.0,4.2,,,80.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,22.0,1717.0,
7.96,,0.5,980.0,897.0,506.0,391.0,263.0,4.3,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,21.0,1463.0,
7.61,,,1142.0,919.0,514.0,405.0,249.0,4.5,,,83.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,18.0,1704.0,
7.8,,,1114.0,909.0,500.0,409.0,234.0,4.5,,,80.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1662.0,
8.39,,,825.0,904.0,492.0,412.0,287.0,4.2,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,19.0,1231.0,
7.75,,,881.0,900.0,486.0,414.0,208.0,4.3,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1314.0,
8.1,,,984.0,914.0,500.0,414.0,230.0,4.4,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1479.0,
8.16,,,882.0,909.0,505.0,404.0,223.0,4.5,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,18.0,1316.0,
8.4,,,921.0,907.0,509.0,398.0,215.0,4.4,,,80.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1375.0,
8.47,,,1034.0,904.0,486.0,418.0,201.0,4.3,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,18.0,1543.0,
8.35,,,1055.0,909.0,495.0,414.0,215.0,4.2,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,20.0,1574.0,
8.29,,,1052.0,881.0,490.0,391.0,230.0,4.1,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1570.0,
7.63,,1.0,1067.0,885.0,500.0,385.0,237.0,4.3,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1592.0,
8.12,,1.0,1120.0,890.0,505.0,385.0,230.0,4.1,,,76.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,20.0,1671.0,
7.89,,0.1,1098.0,895.0,495.0,400.0,250.0,4.1,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,21.0,1625.0,
7.82,,0.1,1055.0,890.0,493.0,397.0,249.0,4.2,,,72.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,20.0,1574.0,
8.48,,0.5,1500.0,855.0,500.0,355.0,241.0,4.3,,,74.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,17.0,2238.0,
7.53,,1.0,1326.0,857.0,490.0,367.0,227.0,4.0,,,73.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,20.0,1979.0,
7.84,,0.2,826.0,871.0,495.0,376.0,256.0,4.1,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1232.0,
8.14,,,1049.0,881.0,490.0,391.0,249.0,4.0,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1565.0,
8.36,,0.1,1069.0,870.0,486.0,384.0,227.0,4.0,,,71.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1595.0,
8.17,,0.8,852.0,869.0,457.0,412.0,234.0,4.2,,,75.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,18.0,1420.0,
8.02,,0.9,890.0,739.0,470.0,269.0,220.0,4.3,,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,22.0,1328.0,
8.11,,0.6,861.0,762.0,443.0,319.0,206.0,4.4,,,81.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.6,21.0,1285.0,
8.08,,1.0,945.0,744.0,486.0,258.0,220.0,4.2,,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,19.0,1410.0,
8.3,,1.0,624.0,423.0,262.0,161.0,,5.7,70.0,,,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,36.0,932.0,
7.99,,1.0,723.0,452.0,296.0,156.0,208.0,5.9,70.0,,79.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,30.0,1079.0,
8.07,,,783.0,475.0,282.0,193.0,179.0,5.5,78.0,,78.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.5,36.0,1169.0,
7.93,,1.0,775.0,478.0,297.0,181.0,188.0,6.2,78.0,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,23.0,1156.0,
8.3,,,726.0,430.0,262.0,168.0,190.0,5.7,84.0,,68.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,19.0,1083.0,
8.27,,,760.0,395.0,220.0,175.0,177.0,6.0,98.0,,62.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,13.0,1139.0,
8.22,,0.2,804.0,405.0,237.0,168.0,164.0,6.0,110.0,,73.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.2,13.0,1200.0,
8.15,,0.2,775.0,420.0,228.0,192.0,157.0,6.0,72.0,,65.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,12.0,1156.0,
8.1,,0.1,740.0,440.0,258.0,182.0,175.0,6.3,100.0,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,16.0,1104.0,
8.18,,0.1,796.0,473.0,248.0,225.0,168.0,6.1,102.0,,62.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,18.0,1188.0,
8.1,,0.1,850.0,465.0,269.0,196.0,151.0,6.2,109.0,,74.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,12.0,1268.0,
8.5,,0.1,840.0,450.0,279.0,171.0,236.0,6.8,121.0,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.4,13.0,1254.0,
8.5,,0.3,900.0,484.0,295.0,189.0,245.0,7.2,130.0,,70.0,DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen,,0.3,14.0,1343.0,
