cycle,timestamp,pH,conductivity,temperature,ORP,LSI,RSI,risk_level,primary_risk,preemptive,doses,blowdown,slug_doses,cost_inr,safety_overrides,emergency_stop
1245,1704440100.0,7.28,1186.0,35.2810864374774,585.0793427878767,0.3036533731094311,6.672693253781138,LOW,corrosion,True,"{'AQUATREAT-2501': 0.0632, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0959}",0.0,{},324.45,3,False
1246,1704440400.0,7.26,1199.0,36.47431008616513,566.0914020291746,0.32987476558285156,6.600250468834297,LOW,corrosion,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 1.19, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0962}",0.0,{},407.3,3,False
1247,1704440700.0,7.47,1208.0,36.564879757696296,589.2560661963157,0.5425895761097861,6.384820847780428,LOW,corrosion,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 1.5471, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0956}",0.0,{},499.59,3,False
1248,1704441000.0,8.07,1298.0,36.09433987499073,625.5838739882363,1.1736902379127212,5.722619524174558,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 1.5159, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0887}",0.0,{},509.39,2,False
1249,1704441300.0,7.86,1398.0,36.53565551562099,611.3317778004517,1.0036929342561933,5.852614131487614,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.1057, 'AQUATREAT-1196': 0.7441, 'AQUATREAT-2150': 0.1428, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0817}",0.0,{},314.79,2,False
1250,1704441600.0,7.28,1265.0,34.35250050019192,602.3876147695155,0.4887925503914454,6.302414899217109,LOW,biofouling,False,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.1813, 'AQUATREAT-2150': 0.1856, 'AQUATREAT-4612': 0.0747, 'AQUATREAT-6625': 0.0885}",0.0,{},157.91,4,False
1251,1704441900.0,7.96,1473.0,35.7554271737448,625.9038363505384,1.2362006411873594,5.487598717625281,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.0221, 'AQUATREAT-4612': 0.0971, 'AQUATREAT-6625': 0.0773}",0.0,{},182.73,4,False
1252,1704442200.0,7.86,1567.0,36.02770028891724,580.158341497667,1.1751759331172122,5.509648133765576,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.1263, 'AQUATREAT-6625': 0.0716}",0.0,{},237.09,4,False
1253,1704442500.0,7.27,1549.0,35.4187959900135,600.7891345914854,0.5513043397414261,6.167391320517147,LOW,scaling,True,"{'AQUATREAT-2501': 0.0731, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.1641, 'AQUATREAT-6625': 0.0716}",0.0,{},251.15,4,False
1254,1704442800.0,7.79,1810.0,36.07081179632387,600.0130618471469,1.220826445040136,5.348347109919728,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.2134, 'AQUATREAT-6625': 0.0627}",0.0,{},333.33,4,False
1255,1704443100.0,7.59,1439.0,35.42985952931814,634.9811982515454,0.8824644243436639,5.825071151312672,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.249, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0752}",0.0,{},216.29,3,False
1256,1704443400.0,7.7,1668.0,36.208452926801556,605.4360617084202,1.0827794245485203,5.53444115090296,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.1211, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0678}",0.0,{},266.21,2,False
1257,1704443700.0,8.1,1597.0,35.69261835312091,620.7942875967287,1.4581858617260206,5.183628276547958,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.3662, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.0185, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0691}",0.0,{},283.53,3,False
1258,1704444000.0,8.12,1708.0,34.75413273202782,619.1680193156626,1.4745803700054934,5.1708392599890125,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.3037, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0653}",0.0,{},315.13,2,False
1259,1704444300.0,7.94,1789.0,36.02830275439245,592.0478501462261,1.3486705638729397,5.242658872254121,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.165, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0619}",0.0,{},339.72,2,False
1260,1704444600.0,7.55,1961.0,36.029387365981755,598.3897691817269,0.9884941117305415,5.573011776538917,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1431, 'AQUATREAT-1196': 0.2186, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.071, 'AQUATREAT-6625': 0.0582}",0.0,{},129.33,3,False
1261,1704444900.0,7.81,1979.0,35.06276460682298,587.0413069774382,1.287933933619052,5.2341321327618955,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1425, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.0825, 'AQUATREAT-4612': 0.0923, 'AQUATREAT-6625': 0.0564}",0.0,{},178.77,2,False
1262,1704445200.0,8.27,2157.0,36.23070930963468,625.8632332328582,1.82551826823312,4.61896346353376,HIGH,scaling,True,"{'AQUATREAT-2501': 0.1368, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.0549, 'AQUATREAT-4612': 0.12, 'AQUATREAT-6625': 0.0531}",0.0,{},206.54,2,False
1263,1704445500.0,7.45,2637.0,34.840972848675456,605.7488454463816,1.072681107642392,5.304637784715216,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1123, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.0444, 'AQUATREAT-4612': 0.156, 'AQUATREAT-6625': 0.0455}",0.0,{},245.26,2,False
1264,1704445800.0,8.04,2382.0,35.801080330554505,579.2670911811573,1.6319895170787033,4.7760209658425925,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.124, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.0467, 'AQUATREAT-4612': 0.2028, 'AQUATREAT-6625': 0.0474}",0.0,{},309.76,2,False
1265,1704446100.0,7.88,2416.0,35.90899557352412,609.9478456848428,1.4722815000535006,4.935436999892999,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1224, 'AQUATREAT-1196': 0.9419, 'AQUATREAT-2150': 0.0469, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0478}",0.0,{},330.51,0,False
1266,1704446400.0,8.16,2416.0,34.933449838136006,597.5757561113387,1.727736609541667,4.704526780916666,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1235, 'AQUATREAT-1196': 0.4717, 'AQUATREAT-2150': 0.046, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0473}",0.0,{},226.96,0,False
1267,1704446700.0,7.32,2350.0,34.231809140075114,572.5246255973123,0.8671903728803816,5.585619254239237,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1193, 'AQUATREAT-1196': 0.44, 'AQUATREAT-2150': 0.0463, 'AQUATREAT-4612': 0.07, 'AQUATREAT-6625': 0.0477}",0.0,{},161.79,1,False
1268,1704447000.0,7.67,2149.0,34.94753234828776,596.3377313516446,1.1963182645817962,5.2773634708364074,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.132, 'AQUATREAT-1196': 0.485, 'AQUATREAT-2150': 0.0498, 'AQUATREAT-4612': 0.091, 'AQUATREAT-6625': 0.0515}",0.0,{},182.33,1,False
1269,1704447300.0,7.98,2573.0,35.449353330042825,585.2706430022184,1.58922434261809,4.80155131476382,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1177, 'AQUATREAT-1196': 0.44, 'AQUATREAT-2150': 0.0449, 'AQUATREAT-4612': 0.1183, 'AQUATREAT-6625': 0.0462}",0.0,{},176.29,1,False
1270,1704447600.0,8.07,2392.0,34.77143764800547,641.133249547379,1.6349283019011747,4.800143396197651,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.122, 'AQUATREAT-1196': 0.4615, 'AQUATREAT-2150': 0.046, 'AQUATREAT-4612': 0.1538, 'AQUATREAT-6625': 0.0473}",0.0,{},193.66,1,False
1271,1704447900.0,8.18,2089.0,34.32562406621571,594.9125816939472,1.6910026411707317,4.797994717658536,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1383, 'AQUATREAT-1196': 0.5099, 'AQUATREAT-2150': 0.0503, 'AQUATREAT-4612': 0.1999, 'AQUATREAT-6625': 0.0522}",0.0,{},224.07,1,False
1272,1704448200.0,8.26,2319.0,33.931048956609246,617.9099766361273,1.814809636734652,4.630380726530696,HIGH,scaling,False,"{'AQUATREAT-2501': 0.1264, 'AQUATREAT-1196': 0.4775, 'AQUATREAT-2150': 0.0471, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.049}",0.0,{},229.38,0,False
1273,1704448500.0,7.93,2682.0,34.59549405558991,615.2093507127482,1.500762042515431,4.9284759149691375,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1127, 'AQUATREAT-1196': 0.4214, 'AQUATREAT-2150': 0.043, 'AQUATREAT-4612': 0.0729, 'AQUATREAT-6625': 0.0442}",0.0,{},155.92,1,False
1274,1704448800.0,6.99,2476.9230769230767,35.03679076864791,589.6602973367555,0.5265897027316857,5.936820594536629,LOW,scaling,True,"{'AQUATREAT-2501': 0.1134, 'AQUATREAT-1196': 0.4131, 'AQUATREAT-2150': 0.0447, 'AQUATREAT-4612': 0.0948, 'AQUATREAT-6625': 0.0456}",0.0,{},161.92,1,False
1275,1704449100.0,7.91,2728.0,35.03364598262458,593.7232212888787,1.515393114744878,4.879213770510244,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1114, 'AQUATREAT-1196': 0.417, 'AQUATREAT-2150': 0.0425, 'AQUATREAT-4612': 0.1232, 'AQUATREAT-6625': 0.0438}",0.0,{},170.6,1,False
1276,1704449400.0,8.29,1898.0,34.442240518230776,579.6904457080694,1.7392560438267122,4.811487912346575,HIGH,scaling,True,"{'AQUATREAT-2501': 0.1496, 'AQUATREAT-1196': 0.542, 'AQUATREAT-2150': 0.0537, 'AQUATREAT-4612': 0.1601, 'AQUATREAT-6625': 0.0558}",0.0,{},222.0,2,False
1277,1704449700.0,8.14,2404.0,34.152806602905315,576.080801180065,1.66766918768886,4.80466162462228,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1226, 'AQUATREAT-1196': 0.4725, 'AQUATREAT-2150': 0.0466, 'AQUATREAT-4612': 0.2082, 'AQUATREAT-6625': 0.0484}",0.0,{},213.98,1,False
1278,1704450000.0,8.28,2750.0,33.858929544617084,600.0680054883153,1.8825300300456291,4.514939939908741,HIGH,scaling,True,"{'AQUATREAT-2501': 0.112, 'AQUATREAT-1196': 0.4254, 'AQUATREAT-2150': 0.0418, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0432}",0.0,{},212.83,0,False
1279,1704450300.0,8.25,2046.0,33.98489520558547,602.2969029793317,1.6295622705992336,4.990875458801533,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.1389, 'AQUATREAT-1196': 0.5151, 'AQUATREAT-2150': 0.0504, 'AQUATREAT-4612': 0.0736, 'AQUATREAT-6625': 0.0523}",0.0,{},184.91,1,False
1280,1704450600.0,8.12,2004.0,34.40034869690191,635.4603710496151,1.4842124067859679,5.1515751864280634,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1415, 'AQUATREAT-1196': 0.5229, 'AQUATREAT-2150': 0.0525, 'AQUATREAT-4612': 0.0957, 'AQUATREAT-6625': 0.0547}",0.0,{},195.2,1,False
1281,1704450900.0,8.25,2014.0,34.6629362893968,611.8807204404264,1.641165260916286,4.967669478167428,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1421, 'AQUATREAT-1196': 0.5271, 'AQUATREAT-2150': 0.0528, 'AQUATREAT-4612': 0.1244, 'AQUATREAT-6625': 0.055}",0.0,{},205.54,1,False
1282,1704451200.0,9.38,3134.0,34.5299640948922,577.1710296948194,2.9267952464253018,3.5264095071493973,HIGH,scaling,True,"{'AQUATREAT-2501': 0.1095, 'AQUATREAT-1196': 0.4323, 'AQUATREAT-2150': 0.0398, 'AQUATREAT-4612': 0.1617, 'AQUATREAT-6625': 0.0413}",0.0,{},184.78,1,False
1283,1704451500.0,8.74,2644.0,34.375127933181275,619.4529500002621,2.2534627742451434,4.233074451509713,HIGH,scaling,True,"{'AQUATREAT-2501': 0.1172, 'AQUATREAT-1196': 0.4494, 'AQUATREAT-2150': 0.0423, 'AQUATREAT-4612': 0.2102, 'AQUATREAT-6625': 0.0433}",0.0,{},206.46,1,False
1284,1704451800.0,7.2,2752.0,34.3885472941029,591.7485821224254,0.7143049202874376,5.771390159425125,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1055, 'AQUATREAT-1196': 0.3867, 'AQUATREAT-2150': 0.0416, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0426}",0.0,{},202.99,0,False
1285,1704452100.0,7.29,3000.0,33.277227671749564,598.5465444397477,0.9333109344977535,5.423378131004493,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.0992, 'AQUATREAT-1196': 0.3669, 'AQUATREAT-2150': 0.0388, 'AQUATREAT-4612': 0.0722, 'AQUATREAT-6625': 0.0399}",0.0,{},139.35,1,False
1286,1704452400.0,6.71,2642.0,33.52287144868101,590.343459257063,0.2963114083828584,6.117377183234283,LOW,biofouling,False,"{'AQUATREAT-2501': 0.1049, 'AQUATREAT-1196': 0.3793, 'AQUATREAT-2150': 0.0417, 'AQUATREAT-4612': 0.0938, 'AQUATREAT-6625': 0.0429}",0.0,{},151.35,1,False
1287,1704452700.0,7.26,2626.0,34.01582887162807,614.765498818152,0.8570738529907533,5.545852294018493,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.1093, 'AQUATREAT-1196': 0.4019, 'AQUATREAT-2150': 0.0425, 'AQUATREAT-4612': 0.122, 'AQUATREAT-6625': 0.0437}",0.0,{},166.47,1,False
1288,1704453000.0,8.04,2557.0,33.59081219019083,609.3456727045464,1.6227620338143716,4.794475932371256,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.1154, 'AQUATREAT-1196': 0.4351, 'AQUATREAT-2150': 0.043, 'AQUATREAT-4612': 0.1585, 'AQUATREAT-6625': 0.0445}",0.0,{},186.89,1,False
1289,1704453300.0,8.08,2385.0,33.54263875804381,589.8131035466155,1.672431380479388,4.735137239041224,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.1219, 'AQUATREAT-1196': 0.4597, 'AQUATREAT-2150': 0.0451, 'AQUATREAT-4612': 0.2061, 'AQUATREAT-6625': 0.0467}",0.0,{},209.62,1,False
1290,1704453600.0,8.43,2627.0,33.092255658738026,637.69316130828,2.044536569604279,4.340926860791441,HIGH,scaling,False,"{'AQUATREAT-2501': 0.1166, 'AQUATREAT-1196': 0.441, 'AQUATREAT-2150': 0.0422, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.044}",0.0,{},217.36,0,False
1291,1704453900.0,8.77,2968.0,32.99536486318142,599.5491191011705,2.4505616098946756,3.8688767802106483,HIGH,scaling,False,"{'AQUATREAT-2501': 0.1091, 'AQUATREAT-1196': 0.4212, 'AQUATREAT-2150': 0.039, 'AQUATREAT-4612': 0.0684, 'AQUATREAT-6625': 0.0403}",0.0,{},152.01,1,False
1292,1704454200.0,7.25,2985.0,33.276782996276694,627.5920073595474,0.9408397543434397,5.368320491313121,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.0998, 'AQUATREAT-1196': 0.3691, 'AQUATREAT-2150': 0.0386, 'AQUATREAT-4612': 0.0889, 'AQUATREAT-6625': 0.0397}",0.0,{},145.19,1,False
1293,1704454500.0,7.96,2744.0,33.825298953998164,614.2836284456231,1.6182279717127068,4.723544056574586,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1098, 'AQUATREAT-1196': 0.4146, 'AQUATREAT-2150': 0.0408, 'AQUATREAT-4612': 0.1156, 'AQUATREAT-6625': 0.0419}",0.0,{},166.57,1,False
1294,1704454800.0,6.9,2976.0,32.10818299284584,612.7802084492748,0.5650855007653011,5.769828998469398,LOW,scaling,True,"{'AQUATREAT-2501': 0.0971, 'AQUATREAT-1196': 0.3533, 'AQUATREAT-2150': 0.0382, 'AQUATREAT-4612': 0.1503, 'AQUATREAT-6625': 0.0396}",0.0,{},160.77,1,False
1295,1704455100.0,7.67,2696.0,33.273185265084116,681.6251527977212,1.3181777226366815,5.033644554726637,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1087, 'AQUATREAT-1196': 0.4077, 'AQUATREAT-2150': 0.0409, 'AQUATREAT-4612': 0.1954, 'AQUATREAT-6625': 0.0423}",0.0,{},190.46,1,False
1296,1704455400.0,7.27,2063.0,32.99096286689368,605.5037332876524,0.8047996846429779,5.660400630714044,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1316, 'AQUATREAT-1196': 0.4811, 'AQUATREAT-2150': 0.0494, 'AQUATREAT-4612': 0.0728, 'AQUATREAT-6625': 0.0514}",0.0,{},175.43,1,False
1297,1704455700.0,8.21,1725.0,32.9830180921257,625.3186232303689,1.5217135013043688,5.166572997391263,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.1617, 'AQUATREAT-1196': 0.5891, 'AQUATREAT-2150': 0.0581, 'AQUATREAT-4612': 0.0946, 'AQUATREAT-6625': 0.0613}",0.0,{},215.74,1,False
1298,1704456000.0,7.63,1844.0,33.68847640917387,616.2882309263158,0.989869997026033,5.650260005947934,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.149, 'AQUATREAT-1196': 0.5444, 'AQUATREAT-2150': 0.0565, 'AQUATREAT-4612': 0.1229, 'AQUATREAT-6625': 0.0596}",0.0,{},211.97,1,False
1299,1704456300.0,7.92,1737.0,32.48688134075338,571.5991620853559,1.2291947868526565,5.461610426294687,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.1582, 'AQUATREAT-1196': 0.5766, 'AQUATREAT-2150': 0.0583, 'AQUATREAT-4612': 0.1598, 'AQUATREAT-6625': 0.062}",0.0,{},233.46,1,False
1300,1704456600.0,7.77,1714.0,32.9045783636195,588.7921072502846,1.0623549029993642,5.645290194001271,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.1596, 'AQUATREAT-1196': 0.5808, 'AQUATREAT-2150': 0.0595, 'AQUATREAT-4612': 0.2078, 'AQUATREAT-6625': 0.0632}",0.0,{},250.49,1,False
1301,1704456900.0,8.32,1489.0,33.08040613554402,602.1085498499353,1.5457629721638355,5.228474055672329,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.1842, 'AQUATREAT-1196': 0.686, 'AQUATREAT-2150': 0.0182, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0725}",0.0,{},283.13,1,False
1302,1704457200.0,8.33,1377.0,33.50144725695063,574.3787563458857,1.5286809314374379,5.272638137125124,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.2047, 'AQUATREAT-1196': 0.7446, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0783}",0.0,{},308.83,1,False
1303,1704457500.0,8.13,1374.0,33.096201554633744,611.1912817555539,1.2441564053414442,5.641687189317112,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.2037, 'AQUATREAT-1196': 0.7363, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0802}",0.0,{},310.95,1,False
1304,1704457800.0,8.39,1404.0,32.632644552151326,590.3011103835707,1.532894165450827,5.3242116690983465,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.1999, 'AQUATREAT-1196': 0.728, 'AQUATREAT-2150': 0.0238, 'AQUATREAT-4612': 0.0699, 'AQUATREAT-6625': 0.0786}",0.0,{},240.16,2,False
1305,1704458100.0,7.94,1397.0,33.09349503825487,592.7234198527809,1.067067331250346,5.805865337499308,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.0505, 'AQUATREAT-1196': 0.177, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.0909, 'AQUATREAT-6625': 0.0789}",0.0,{},105.4,4,False
1306,1704458400.0,8.43,1331.0,32.623521456334814,573.3244994479196,1.5407686158719374,5.348462768256125,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.1182, 'AQUATREAT-6625': 0.0827}",0.0,{},192.27,4,False
1307,1704458700.0,7.74,1305.0,32.83244449220898,634.6536552947844,0.8355490580782412,6.068901883843518,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.0635, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.1536, 'AQUATREAT-6625': 0.0847}",0.0,{},217.83,4,False
1308,1704459000.0,8.1,1089.0,32.357122138608155,556.7715942818979,1.1335517131579884,5.832896573684023,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.0303, 'AQUATREAT-4612': 0.1997, 'AQUATREAT-6625': 0.1037}",0.0,{},277.13,4,False
1309,1704459300.0,8.4,1341.0,31.641661901127637,593.5898637429164,1.324842550082428,5.7503148998351445,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0855}",0.0,{},350.0,3,False
1310,1704459600.0,6.5,1562.0,32.15113698167036,592.6849511791502,-0.4896854761313456,7.479370952262691,LOW,corrosion,True,"{'AQUATREAT-2501': 0.0761, 'AQUATREAT-1196': 0.2454, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.072}",0.0,{},178.35,3,False
1311,1704459900.0,7.3,1541.0,33.08158770535808,625.2963214414464,0.34658957308257765,6.6068208538348445,LOW,corrosion,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.071}",0.0,{},236.99,3,False
1312,1704460200.0,7.32,1589.0,32.2570242411653,615.8554055653386,0.5006064035368247,6.318787192926351,LOW,corrosion,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.0734, 'AQUATREAT-6625': 0.0687}",0.0,{},222.86,4,False
1313,1704460500.0,7.27,1573.0,31.98270781639296,597.8978036149307,0.4123666706956586,6.445266658608682,LOW,corrosion,True,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.1428, 'AQUATREAT-4612': 0.0954, 'AQUATREAT-6625': 0.0689}",0.0,{},285.64,4,False
1314,1704460800.0,7.4,1549.0,32.09004540087408,567.8753870110698,0.5330774832534662,6.333845033493068,LOW,corrosion,True,"{'AQUATREAT-2501': 0.3662, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.1652, 'AQUATREAT-4612': 0.1241, 'AQUATREAT-6625': 0.0705}",0.0,{},362.4,3,False
1315,1704461100.0,7.95,1405.0,32.60562188130069,601.51348654524,1.0598134698267705,5.830373060346459,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.3713, 'AQUATREAT-1196': 1.19, 'AQUATREAT-2150': 0.0193, 'AQUATREAT-4612': 0.1613, 'AQUATREAT-6625': 0.0762}",0.0,{},400.34,3,False
1316,1704461400.0,7.84,1404.0,32.46779117278149,599.9433095535396,0.9417010012737634,5.956597997452473,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.2039, 'AQUATREAT-1196': 0.3846, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.2096, 'AQUATREAT-6625': 0.0779}",0.0,{},216.47,3,False
1317,1704461700.0,6.96,1400.0,32.093808102114956,648.0065761031989,0.08314408262812467,6.793711834743751,LOW,corrosion,True,"{'AQUATREAT-2501': 0.0501, 'AQUATREAT-1196': 0.4999, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0782}",0.0,{},230.89,3,False
1318,1704462000.0,7.0,1450.0,31.24759967165867,607.8791748613132,0.188674979650985,6.62265004069803,LOW,corrosion,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.6499, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0755}",0.0,{},289.2,3,False
1319,1704462300.0,7.6,1223.0,31.880871484520817,588.1462128032638,0.5662819089387039,6.467436182122592,LOW,biofouling,False,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.8449, 'AQUATREAT-2150': 0.0244, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0893}",0.0,{},328.83,3,False
1320,1704462600.0,8.3,1077.0,31.148473614462095,615.2944024088112,1.2345276493600483,5.830944701279904,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 1.0983, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.1053}",0.0,{},405.89,3,False
1321,1704462900.0,7.36,1120.0,31.00821579043957,597.876951318522,0.28636645415792383,6.787267091684153,LOW,biofouling,False,"{'AQUATREAT-2501': 0.064, 'AQUATREAT-1196': 0.269, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.07, 'AQUATREAT-6625': 0.1032}",0.0,{},130.0,4,False
1322,1704463200.0,7.64,923.0,31.63834058746231,605.95227019144,0.5160397548588156,6.6079204902823685,LOW,corrosion,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.0911, 'AQUATREAT-6625': 0.131}",0.0,{},198.14,4,False
1323,1704463500.0,7.86,1104.0,31.971742184530996,619.0426667063866,0.8904778081520686,6.079044383695863,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.1184, 'AQUATREAT-6625': 0.1092}",0.0,{},245.36,4,False
1324,1704463800.0,7.0,1244.0,31.735327990459602,585.0304843213328,0.22860696745241693,6.542786065095166,LOW,biofouling,False,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.1428, 'AQUATREAT-4612': 0.1539, 'AQUATREAT-6625': 0.0931}",0.0,{},309.17,4,False
