cycle,timestamp,pH,conductivity,temperature,ORP,LSI,RSI,risk_level,primary_risk,preemptive,doses,blowdown,slug_doses,cost_inr,safety_overrides,emergency_stop
19,1704072300.0,7.77,989.0,34.21557166590146,661.6320748362762,0.30190089317385205,7.1661982136522955,LOW,biofouling,False,"{'AQUATREAT-2501': 0.7957, 'AQUATREAT-1196': 2.0345, 'AQUATREAT-2150': 0.1532, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.1186}",0.0,{},732.85,4,False
20,1704072600.0,7.45,1097.0,34.252141764832814,646.1596951323811,-0.030471083746610894,7.510942167493222,LOW,biofouling,False,"{'AQUATREAT-2501': 0.8333, 'AQUATREAT-1196': 2.0833, 'AQUATREAT-2150': 0.1992, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.1542}",0.0,{},768.98,2,False
21,1704072900.0,7.19,1088.0,33.16785780667841,651.80567577031,-0.2450036362748138,7.680007272549628,LOW,biofouling,False,"{'AQUATREAT-2501': 0.2001, 'AQUATREAT-1196': 2.0833, 'AQUATREAT-2150': 0.25, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.2005}",0.0,{},676.95,2,False
22,1704073200.0,7.55,1193.0,33.37217949870278,638.0423120222434,0.2043107542634166,7.141378491473167,LOW,biofouling,False,"{'AQUATREAT-2501': 0.2601, 'AQUATREAT-1196': 2.0833, 'AQUATREAT-2150': 0.054, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0606}",0.0,{},610.77,3,False
23,1704073500.0,7.22,1152.0,34.66638826537774,677.9594451165303,-0.18010218031955638,7.5802043606391125,LOW,biofouling,False,"{'AQUATREAT-2501': 0.3382, 'AQUATREAT-1196': 0.441, 'AQUATREAT-2150': 0.0701, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0788}",0.0,{},271.19,4,False
24,1704073800.0,7.7,1140.0,33.80094074419041,669.0311719686998,0.4008035446394791,6.898392910721042,LOW,scaling,True,"{'AQUATREAT-2501': 0.4396, 'AQUATREAT-1196': 0.5733, 'AQUATREAT-2150': 0.0912, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.1025}",0.0,{},328.55,4,False
25,1704074100.0,7.52,1328.0,34.530275531103534,635.6456451285126,0.3196276548310415,6.880744690337917,LOW,scaling,True,"{'AQUATREAT-2501': 0.5715, 'AQUATREAT-1196': 0.7453, 'AQUATREAT-2150': 0.1185, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.1332}",0.0,{},403.12,4,False
26,1704074400.0,7.94,1418.0,33.74540933753922,631.0961379394066,0.7101552963862545,6.519689407227491,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.7429, 'AQUATREAT-1196': 0.9689, 'AQUATREAT-2150': 0.1541, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.1732}",0.0,{},500.06,4,False
27,1704074700.0,7.1,1428.0,33.8931296391004,663.5195629588874,-0.022027048188521192,7.144054096377042,LOW,scaling,True,"{'AQUATREAT-2501': 0.052, 'AQUATREAT-1196': 0.3298, 'AQUATREAT-2150': 0.2003, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.1147}",0.0,{},234.94,3,False
28,1704075000.0,7.19,1516.0,34.17005336414872,646.3902690108373,0.11526568556208883,6.959468628875823,LOW,biofouling,False,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4288, 'AQUATREAT-2150': 0.0658, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0792}",0.0,{},236.63,3,False
